player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Pierre Kunde,cm CMR,MF,Mainz 05,23,1995,21.2,48,29,20,26,2,16,27,59.3,11,34,14,20,24,72,49,1,Matches
Ahmed Kutucu,tr TUR,"FW,MF",Schalke 04,18,2000,4.7,8,3,3,4,1,1,3,33.3,2,2,1,1,0,8,0,0,Matches
Konrad Laimer,at AUT,"MF,DF",RB Leipzig,21,1997,20.8,72,38,21,34,17,20,71,28.2,51,67,2,65,32,104,23,0,Matches
Michael Lang,ch SUI,DF,M'Gladbach,27,1991,13.9,14,9,7,6,1,6,16,37.5,10,14,3,11,16,30,42,1,Matches
Sebastian Langkamp,de GER,DF,Werder Bremen,30,1988,15.7,24,15,18,6,0,7,14,50.0,7,17,11,6,20,44,79,1,Matches
Danny Latza,de GER,MF,Mainz 05,28,1989,20.7,41,22,16,23,2,20,61,32.8,41,49,10,39,20,61,31,0,Matches
Valentino Lazaro,at AUT,"DF,FW",Hertha BSC,22,1996,30.5,46,31,23,17,6,21,53,39.6,32,52,12,40,44,90,65,0,Matches
Mathew Leckie,au AUS,"FW,MF",Hertha BSC,27,1991,10.5,20,13,5,10,5,7,16,43.8,9,10,1,9,13,33,16,0,Matches
Tim Leibold,de GER,DF,Nürnberg,24,1993,30.7,62,42,45,16,1,33,71,46.5,38,23,3,20,38,100,57,0,Matches
Robert Lewandowski,pl POL,FW,Bayern Munich,29,1988,32.9,12,9,0,8,4,3,11,27.3,8,11,1,10,7,19,15,0,Matches
Philipp Lienhart,at AUT,DF,Freiburg,22,1996,6.8,6,6,4,2,0,3,6,50.0,3,9,7,2,11,17,42,0,Matches
Davor Lovren,hr CRO,MF,Düsseldorf,19,1998,0.5,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
Eduard Löwen,de GER,"MF,FW",Nürnberg,21,1997,18.0,30,22,14,13,3,11,34,32.4,23,15,2,13,8,38,23,0,Matches
Derrick Luckassen,nl NED,DF,Hertha BSC,23,1995,2.8,4,2,4,0,0,1,3,33.3,2,1,0,1,0,4,13,0,Matches
Dodi Lukebakio,be BEL,"FW,MF",Düsseldorf,20,1997,21.9,25,17,11,6,8,8,15,53.3,7,13,0,13,9,34,19,0,Matches
Fabian Lustenberger,ch SUI,"DF,MF",Hertha BSC,30,1988,24.1,45,30,23,21,1,15,33,45.5,18,39,18,21,39,84,108,2,Matches
Andreas Luthe,de GER,GK,Augsburg,31,1987,14.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Pablo Maffeo,es ESP,"DF,MF",Stuttgart,21,1997,6.6,15,13,10,5,0,6,13,46.2,7,8,4,4,13,28,17,0,Matches
Arne Maier,de GER,MF,Hertha BSC,19,1999,22.9,31,16,12,19,0,6,25,24.0,19,32,9,23,28,59,35,0,Matches
Linton Maina,de GER,"FW,MF",Hannover 96,19,1999,15.7,28,14,13,10,5,12,23,52.2,11,20,0,20,14,42,4,0,Matches
Yunus Mallı,tr TUR,"MF,FW",Wolfsburg,26,1992,7.8,15,7,8,6,1,2,11,18.2,9,2,0,2,4,19,1,0,Matches
Georg Margreitter,at AUT,DF,Nürnberg,29,1988,22.9,39,24,28,8,3,31,38,81.6,7,29,26,3,26,65,141,0,Matches
Aarón Martín,es ESP,DF,Mainz 05,21,1997,32.0,55,30,29,21,5,20,38,52.6,18,38,11,27,38,93,75,1,Matches
