player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Renato Steffen,ch SUI,"MF,FW",Wolfsburg,27,1991,17.6,887,22,140,418,341,41,887,47,31,66.0,16,34.0,507,2751,1423,43,31,8,31,25,571,109,Matches
Zack Steffen,us USA,GK,Düsseldorf,24,1995,17.0,667,566,661,6,0,0,667,0,0,,0,,301,1752,1144,0,0,0,0,0,238,0,Matches
Lars Stindl,de GER,"MF,FW",M'Gladbach,30,1988,15.9,916,10,91,538,288,56,914,23,11,47.8,12,52.2,558,1925,748,15,5,6,24,32,694,94,Matches
Kevin Stöger,at AUT,MF,Düsseldorf,25,1993,14.1,1111,9,183,641,296,10,1111,24,21,87.5,3,12.5,521,2896,1192,21,18,4,24,19,743,42,Matches
Tobias Strobl,de GER,"MF,DF",M'Gladbach,29,1990,6.8,436,26,167,256,15,0,436,5,4,80.0,1,20.0,268,1171,485,1,1,0,3,2,306,3,Matches
Christian Strohdiek,de GER,DF,Paderborn 07,31,1988,15.1,870,136,531,301,40,19,870,2,2,100.0,0,0.0,404,2131,1189,5,5,0,5,2,454,2,Matches
Neven Subotić,rs SRB,DF,Union Berlin,30,1988,21.8,1015,102,458,501,64,14,1015,4,3,75.0,1,25.0,493,2433,1205,12,8,0,17,5,496,5,Matches
Marek Suchý,cz CZE,DF,Augsburg,31,1988,4.4,232,25,147,83,4,2,232,1,1,100.0,0,0.0,128,626,321,1,0,0,0,0,146,0,Matches
Niklas Süle,de GER,DF,Bayern Munich,23,1995,7.1,677,68,350,309,21,5,677,2,2,100.0,0,0.0,448,2011,1152,5,5,0,2,0,542,0,Matches
Markus Suttner,at AUT,DF,Düsseldorf,32,1987,14.9,1012,49,269,485,266,8,1012,12,8,66.7,4,33.3,467,2187,1188,18,24,1,19,7,575,61,Matches
Ádám Szalai,hu HUN,FW,Mainz 05,31,1987,12.7,455,17,40,192,225,73,455,17,12,70.6,5,29.4,282,938,328,10,6,4,41,37,358,69,Matches
