player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-051,2000,3.3,47,66,71.2,606,153,30,38,78.9,16,21,76.2,0,0,,1,0.5,0.4,+0.5,3,1,2,0,6,Matches
Finn Dahmen,de GER,GK,Augsburg,25-190,1998,6.0,252,305,82.6,6193,3463,47,47,100.0,152,153,99.3,53,105,50.5,0,0.0,0.1,0.0,0,9,1,0,1,Matches
Lukas Daschner,de GER,"MF,FW",Bochum,25-002,1998,1.3,19,29,65.5,234,72,12,16,75.0,6,10,60.0,0,0,,1,0.8,0.6,+0.2,4,1,1,0,3,Matches
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,20-285,2002,3.6,48,75,64.0,668,122,32,45,71.1,11,19,57.9,3,3,100.0,0,0.2,0.2,-0.2,1,2,2,1,4,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,22-335,2000,5.7,363,410,88.5,5100,1323,222,249,89.2,128,135,94.8,5,8,62.5,3,1.2,1.0,+1.8,15,28,9,1,36,Matches
Olivier Deman,be BEL,"DF,FW",Werder Bremen,23-180,2000,2.4,89,118,75.4,1643,604,34,37,91.9,42,51,82.4,12,26,46.2,1,0.2,0.4,+0.8,1,7,3,1,11,Matches
Ermedin Demirović,ba BIH,MF,Augsburg,25-192,1998,5.8,75,129,58.1,1052,305,40,63,63.5,24,35,68.6,5,8,62.5,3,1.7,1.7,+1.3,10,9,3,1,14,Matches
Sepp van den Berg,nl NED,DF,Mainz 05,21-287,2001,4.6,206,257,80.2,4020,1399,70,78,89.7,105,126,83.3,27,43,62.8,0,0.0,0.1,0.0,0,22,1,0,16,Matches
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,22-316,2000,4.5,156,200,78.0,2398,653,90,103,87.4,52,68,76.5,10,14,71.4,1,1.2,1.1,-0.2,6,15,2,0,20,Matches
Eren Dinkçi,de GER,"FW,MF",Heidenheim,21-294,2001,5.3,76,129,58.9,1264,428,39,57,68.4,25,32,78.1,8,17,47.1,0,1.0,1.2,-1.0,10,10,5,1,17,Matches
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-109,1998,3.9,77,113,68.1,1098,335,50,60,83.3,19,28,67.9,5,15,33.3,0,0.5,0.6,-0.5,6,9,2,0,10,Matches
Danilho Doekhi,nl NED,DF,Union Berlin,25-095,1998,6.0,232,277,83.8,4553,1855,73,79,92.4,130,149,87.2,24,40,60.0,0,0.1,0.3,-0.1,1,27,3,1,24,Matches
Niklas Dorsch,de GER,MF,Augsburg,25-261,1998,3.5,136,158,86.1,2405,739,65,69,94.2,58,65,89.2,12,22,54.5,0,0.0,0.1,0.0,0,9,1,1,10,Matches
Nikola Dovedan,at AUT,MF,Heidenheim,29-089,1994,1.4,21,38,55.3,375,104,6,8,75.0,13,19,68.4,0,4,0.0,0,0.0,0.2,0.0,1,0,1,0,5,Matches
Damion Downs,de GER,"FW,MF",Köln,19-089,2004,0.3,7,10,70.0,66,10,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Dion Drena Beljo,hr CRO,FW,Augsburg,21-216,2002,2.3,36,49,73.5,530,83,19,23,82.6,15,21,71.4,0,0,,0,0.0,0.1,0.0,0,1,1,0,5,Matches
Marvin Ducksch,de GER,FW,Werder Bremen,29-210,1994,4.6,87,163,53.4,1499,575,42,57,73.7,31,51,60.8,11,39,28.2,2,2.2,1.7,-0.2,12,3,9,0,17,Matches
Maximilian Eggestein,de GER,MF,Freiburg,26-299,1996,5.8,238,279,85.3,3942,1100,115,128,89.8,106,119,89.1,14,16,87.5,0,0.1,0.1,-0.1,2,19,1,0,30,Matches
Lilian Egloff,de GER,MF,Stuttgart,21-044,2002,1.0,28,33,84.8,382,118,15,15,100.0,9,11,81.8,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,27-003,1996,2.3,127,161,78.9,2126,648,62,68,91.2,53,64,82.8,11,21,52.4,0,0.0,0.1,0.0,1,10,1,1,11,Matches
Arne Engels,be BEL,"DF,MF",Augsburg,20-025,2003,4.0,114,183,62.3,2145,879,44,51,86.3,53,76,69.7,14,40,35.0,0,0.3,0.5,-0.3,5,6,3,1,9,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-024,1997,5.5,253,316,80.1,4301,1464,108,118,91.5,129,146,88.4,12,44,27.3,0,0.2,0.3,-0.2,2,10,0,0,16,Matches
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-171,1996,5.9,281,374,75.1,5809,2262,97,111,87.4,138,156,88.5,44,98,44.9,0,0.3,1.3,-0.3,8,28,8,2,28,Matches
Nacho Ferri,es ESP,MF,Eint Frankfurt,18-363,2004,0.1,2,3,66.7,20,4,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Max Finkgräfe,de GER,"MF,FW",Köln,19-190,2004,0.6,15,25,60.0,199,39,9,13,69.2,5,5,100.0,0,1,0.0,0,0.2,0.1,-0.2,3,1,1,1,1,Matches
Jonas Föhrenbach,de GER,DF,Heidenheim,27-250,1996,5.0,169,238,71.0,3225,1257,65,75,86.7,83,104,79.8,20,45,44.4,0,0.2,0.1,-0.2,4,10,3,1,16,Matches
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,31-345,1991,1.8,56,69,81.2,874,119,32,37,86.5,22,23,95.7,2,4,50.0,0,0.1,0.1,-0.1,2,5,1,0,6,Matches
Philipp Förster,de GER,MF,Bochum,28-241,1995,0.7,48,61,78.7,886,340,18,20,90.0,21,29,72.4,7,9,77.8,0,0.2,0.3,-0.2,4,5,4,3,10,Matches
Bartol Franjić,hr CRO,MF,Darmstadt 98,23-262,2000,2.5,109,123,88.6,2183,495,30,35,85.7,68,73,93.2,11,14,78.6,0,0.0,0.1,0.0,0,12,1,1,11,Matches
Marco Friedl,at AUT,DF,Werder Bremen,25-201,1998,3.5,137,181,75.7,3067,1299,31,34,91.2,85,90,94.4,21,50,42.0,0,0.0,0.1,0.0,0,13,1,0,10,Matches
Marvin Friedrich,de GER,DF,M'Gladbach,27-294,1995,3.0,129,161,80.1,2253,844,56,59,94.9,66,74,89.2,7,25,28.0,0,0.0,0.0,0.0,1,8,0,0,11,Matches
Jeremie Frimpong,nl NED,DF,Leverkusen,22-297,2000,5.1,147,192,76.6,2083,306,92,104,88.5,44,58,75.9,7,10,70.0,3,1.3,0.8,+1.7,9,8,3,1,6,Matches
Chris Führich,de GER,FW,Stuttgart,25-267,1998,5.6,174,217,80.2,2475,763,98,113,86.7,48,61,78.7,13,25,52.0,4,2.4,1.7,+1.6,14,9,8,3,18,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,30-236,1993,2.0,48,66,72.7,799,274,27,33,81.8,15,22,68.2,6,7,85.7,0,0.3,0.4,-0.3,2,7,2,0,9,Matches
