team_title,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,team_id,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,games_played,season
Mainz 05,52.082733,43.40648,49.051623,38.859895,223,182,50,45,50.623,13,7,14,46,10.191728000000001,125,8941,908,7239,753,34,2021
RasenBallsport Leipzig,67.396235,44.377843,60.576251,42.104522,357,166,72,37,60.5882,17,7,10,58,18.471729,136,8427,762,10647,811,34,2021
Union Berlin,55.20362,39.82665,51.414738,38.311099999999996,173,177,50,44,58.2838,16,9,9,57,13.103638,240,10735,749,7437,662,34,2021
VfB Stuttgart,47.906166,55.456865,45.610184,52.425769,195,248,41,59,40.4546,7,12,15,33,-6.8155850000000004,133,8697,746,9383,860,34,2021
Wolfsburg,49.273872,53.476041,46.24277,48.148939,197,236,43,54,44.2423,12,6,16,42,-1.9061689999999993,131,8002,729,8808,833,34,2021
Augsburg,36.026488,65.073987,32.237606,62.042892,164,283,42,63,30.2344,9,7,18,34,-29.805286000000002,121,8935,716,5773,675,34,2022
Bayer Leverkusen,53.683778000000004,46.781454,48.379346,41.477099,217,221,57,49,52.592800000000004,14,8,12,50,6.902247,119,9266,641,10179,899,34,2022
Bayern Munich,85.118184,37.0069594,81.186204,29.4291834,437,166,92,38,71.9905,21,8,5,71,51.7570206,117,6358,742,12464,819,34,2022
Bochum,40.076823,69.436692,37.803497,58.668673,198,291,40,72,32.1599,10,5,19,35,-20.865176,268,7669,821,6016,593,34,2022
Borussia Dortmund,76.970559,43.2308099,72.423896,42.4730329,314,181,83,44,64.6901,22,5,7,71,29.9508631,129,7473,729,10588,806,34,2022
Borussia M.Gladbach,52.836938,59.042868,48.290355,54.496215,225,260,52,55,44.2889,11,10,13,43,-6.205859999999999,130,8356,602,11016,860,34,2022
Eintracht Frankfurt,53.198609,44.526932,48.652108999999996,43.011372,238,215,58,52,51.499900000000004,13,11,10,50,5.640737,132,8699,780,9402,763,34,2022
FC Cologne,51.043044,42.072048,48.011926,38.28317,208,202,49,54,49.6716,10,12,12,42,9.728756,134,8818,799,8258,666,34,2022
Freiburg,50.240992,49.661925,44.090787,45.115266,217,260,51,44,47.3269,17,8,9,59,-1.0244790000000001,135,8907,736,7770,698,34,2022
Hertha Berlin,41.4376224,62.421082999999996,36.1331874,57.874578,149,256,42,69,34.3275,7,8,19,29,-21.741390600000003,122,9164,719,6049,796,34,2022
Hoffenheim,47.312395,52.841997,40.492405,50.568672,217,275,48,57,42.9731,10,6,18,36,-10.076267,120,8304,787,7879,679,34,2022
Mainz 05,50.487623,54.858333,45.941042,48.653025,237,223,54,55,45.1492,12,10,12,46,-2.7119829999999996,125,9354,815,6692,639,34,2022
RasenBallsport Leipzig,68.842507,36.987905,63.538157,30.925677,296,161,64,41,67.5073,20,6,8,66,32.61248,136,7808,757,11399,786,34,2022
Schalke 04,40.5444489,61.531887,36.7555759,56.926311,170,241,35,71,38.7621,7,10,17,31,-20.170735099999998,124,7708,771,6245,707,34,2022
Union Berlin,35.074031,42.431049,29.769673,37.126596,175,217,51,38,42.3223,18,8,8,62,-7.356923000000001,240,10566,701,6892,548,34,2022
VfB Stuttgart,49.149235,48.305777,45.360353,43.759204,209,233,45,57,47.3078,7,12,15,33,1.6011490000000004,133,8910,649,9259,812,34,2022
Werder Bremen,42.914084,57.851501999999996,38.36744,55.578161,244,244,51,64,40.4839,10,6,18,36,-17.210721,123,8633,772,8573,749,34,2022
Wolfsburg,51.208132,52.102285,45.773498000000004,46.79793,244,230,57,48,47.2333,13,10,11,49,-1.0244319999999993,131,8025,724,8499,766,34,2022
Augsburg,31.483193,40.049291,26.178743,33.98706,133,180,31,40,25.5036,5,8,9,23,-7.808317000000001,121,6631,509,4415,421,22,2023
Bayer Leverkusen,53.347792,22.2584116,51.074462,22.2584116,300,124,59,16,50.344300000000004,19,4,0,61,28.8160504,119,5720,457,8897,504,23,2023
Bayern Munich,62.634648,21.3639721,60.361328,18.3328721,296,113,61,25,51.9229,16,2,4,50,42.0284559,117,5200,477,8064,485,22,2023
Bochum,35.3179834,48.234099,32.2869034,41.414266,142,208,28,46,26.5561,5,10,8,25,-9.1273626,268,5705,573,4171,430,23,2023
Borussia Dortmund,46.69986,35.661006,43.66892,30.96893,197,166,44,27,37.123400000000004,11,8,3,41,12.69999,129,4677,385,7318,524,22,2023
Borussia M.Gladbach,35.651251,44.070375,31.862365999999998,40.281495,146,222,41,45,27.6221,6,7,10,25,-8.419129000000002,130,6688,416,6213,558,23,2023
Darmstadt,25.804027,48.373056,23.5307,46.857496,129,193,24,52,19.9831,2,7,14,13,-23.326796,127,6315,458,5735,462,23,2023
Eintracht Frankfurt,31.246682,36.632206,29.731132,31.946149,154,159,34,28,27.7856,8,9,5,33,-2.2150169999999996,132,6164,451,7115,503,22,2023
FC Cologne,26.469015,50.349635,24.195688,48.834075,93,186,16,37,19.2077,3,8,12,17,-24.638387,134,7354,507,5555,514,23,2023
FC Heidenheim,29.102687,47.743556,26.829347,40.038759,103,214,33,40,21.642500000000002,7,7,9,28,-13.209412,280,7316,496,4656,445,23,2023
Freiburg,35.1115127,38.149603,30.5648597,35.876283,127,184,29,40,29.3083,8,5,9,29,-5.3114233,135,6865,398,5752,413,22,2023
Hoffenheim,36.56283,40.410236,32.016181,36.621355,168,203,38,41,28.1739,7,6,9,27,-4.605174,120,5288,422,5786,424,22,2023
Mainz 05,28.710334,30.122205,25.679224,28.606655,144,146,18,37,30.5127,2,9,12,15,-2.9274309999999995,125,6354,575,5088,475,23,2023
