player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Anthony Caci,fr FRA,DF,Mainz 05,26-178,1997,14,13,"1,149",12.8,2,0,2,2,0,0,3,0,0.5,0.5,0.5,1.0,11,58,27,0.16,0.00,0.16,0.16,0.16,0.04,0.04,0.08,0.04,0.08,Matches
Emre Can,de GER,MF,Dortmund,29-348,1994,13,11,955,10.6,1,2,3,0,1,1,3,0,0.9,0.1,1.3,1.4,15,61,9,0.09,0.19,0.28,0.00,0.19,0.08,0.12,0.21,0.01,0.13,Matches
Irvin Cardona,fr FRA,"MF,DF",Augsburg,26-140,1997,3,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,2,6,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33,Matches
Rasmus Carstensen,dk DEN,"DF,FW",Köln,23-076,2000,14,12,"1,057",11.7,0,0,0,0,0,0,2,1,0.3,0.3,1.1,1.4,28,37,62,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12,Matches
Fabio Carvalho,pt POR,MF,RB Leipzig,21-118,2002,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8,9,13,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.25,0.12,0.25,Matches
Koen Casteels,be BEL,GK,Wolfsburg,31-184,1992,13,13,"1,170",13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Václav Černý,cz CZE,"FW,MF",Wolfsburg,26-070,1997,12,7,545,6.1,1,1,2,1,0,0,2,0,1.1,1.1,0.5,1.6,12,21,47,0.17,0.17,0.33,0.17,0.33,0.18,0.08,0.26,0.18,0.26,Matches
Julian Chabot,de GER,DF,Köln,25-317,1998,15,15,"1,207",13.4,0,0,0,0,0,0,4,1,0.8,0.8,0.1,0.9,9,32,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,21-028,2002,13,11,938,10.4,1,2,3,1,0,0,1,0,1.2,1.2,2.8,3.9,29,41,73,0.10,0.19,0.29,0.10,0.29,0.11,0.26,0.38,0.11,0.38,Matches
Fabio Chiarodia,it ITA,"DF,MF",M'Gladbach,18-204,2005,5,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kingsley Coman,fr FRA,FW,Bayern Munich,27-196,1996,11,11,835,9.3,3,3,6,3,0,0,1,0,2.4,2.4,3.6,6.1,58,43,135,0.32,0.32,0.65,0.32,0.65,0.26,0.39,0.65,0.26,0.65,Matches
Bambasé Conté,de GER,"FW,MF",Hoffenheim,20-172,2003,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Danny da Costa,de GER,DF,Mainz 05,30-166,1993,13,8,730,8.1,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,19,38,49,0.00,0.12,0.12,0.00,0.12,0.04,0.09,0.13,0.04,0.13,Matches
