,ID,Name,Team,Position,Marktwert,Trend,Bild,Status,Punkteschnitt,Punktetotal,UserID,TeamID,TeamCover
69,43,Mitchell Weiser,Bremen,2,13152443.0,2,https://kickbase.b-cdn.net/pool/playersbig/43.png,0,79,1261,None,10,https://kickbase.b-cdn.net/team/2013/07/30/f5ee82a13bc74c728dbd61672eafb76c.jpg
70,4460,Nelson Weiper,Mainz 05,4,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/4460.png,1,2,7,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
71,3084,Marcel Wenig,Frankfurt,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/3084.png,64,0,0,None,4,https://kickbase.b-cdn.net/team/2013/07/30/80fe7ac3b0f643e2af669f6f77f4a5a6.jpg
72,3017,Noah Weißhaupt,Freiburg,3,3194433.0,2,https://kickbase.b-cdn.net/pool/playersbig/3017.png,0,39,501,2626903,5,https://kickbase.b-cdn.net/team/2013/07/30/087b1e89dc5d440681b4467e659ffb06.jpg
73,734,Timo Werner,Leipzig,4,6507194.0,1,https://kickbase.b-cdn.net/pool/playersbig/734.png,0,47,376,2222233,43,None
74,3041,Silvan Dominic Widmer,Mainz 05,2,4083868.0,2,https://kickbase.b-cdn.net/pool/playersbig/3041.png,0,68,273,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
75,2795,Florian Wirtz,Bayer 04,3,43200354.0,1,https://kickbase.b-cdn.net/pool/playersbig/2795.png,0,179,2858,2631100,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
76,3025,Frederik Franck Winther,Augsburg,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/3025.png,2,0,0,None,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
77,3196,Jonas Wind,Wolfsburg,4,25196611.0,1,https://kickbase.b-cdn.net/pool/playersbig/3196.png,0,111,1780,1948818,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
78,2758,Nick Woltemade,Bremen,4,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2758.png,0,13,153,None,10,https://kickbase.b-cdn.net/team/2013/07/30/f5ee82a13bc74c728dbd61672eafb76c.jpg
79,3124,Patrick Wimmer,Wolfsburg,3,1652891.0,2,https://kickbase.b-cdn.net/pool/playersbig/3124.png,4,29,176,None,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
80,7156,Maximilian Wöber,M-Gladbach,2,12870333.0,2,https://kickbase.b-cdn.net/pool/playersbig/7156.png,16,105,1573,None,15,https://kickbase.b-cdn.net/team/2013/07/30/d91892b110704f76a6d787c5078f3030.jpg
81,2460,Maximilian Wittek,Bochum,2,1690311.0,2,https://kickbase.b-cdn.net/pool/playersbig/2460.png,0,44,399,None,24,None
82,2655,Hannes Wolf,M-Gladbach,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2655.png,2,0,0,None,15,https://kickbase.b-cdn.net/team/2013/07/30/d91892b110704f76a6d787c5078f3030.jpg
83,1809,Marius Wolf,Dortmund,2,7340239.0,1,https://kickbase.b-cdn.net/pool/playersbig/1809.png,2,45,542,None,3,https://kickbase.b-cdn.net/team/2013/07/30/0abbc3334029438b9ffc564f2923886b.jpg
84,573,Granit Xhaka,Bayer 04,3,37006595.0,1,https://kickbase.b-cdn.net/pool/playersbig/573.png,0,154,2471,2073012,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
85,6179,Cédric Zesiger,Wolfsburg,2,4680355.0,2,https://kickbase.b-cdn.net/pool/playersbig/6179.png,0,54,702,None,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
86,1590,Robin Zentner,Mainz 05,1,5129933.0,1,https://kickbase.b-cdn.net/pool/playersbig/1590.png,0,76,907,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
87,1655,Michael Zetterer,Bremen,1,7354566.0,1,https://kickbase.b-cdn.net/pool/playersbig/1655.png,0,89,798,None,10,https://kickbase.b-cdn.net/team/2013/07/30/f5ee82a13bc74c728dbd61672eafb76c.jpg
88,1782,Christoph Zimmermann,Darmstadt,2,1955768.0,1,https://kickbase.b-cdn.net/pool/playersbig/1782.png,2,49,296,2631100,42,None
89,2068,Dan-Axel Zagadou,Stuttgart,2,22125557.0,1,https://kickbase.b-cdn.net/pool/playersbig/2068.png,0,105,1673,None,9,https://kickbase.b-cdn.net/team/2013/07/30/eea01bf0ab1145059d44f2585b352081.jpg
90,3167,Mathias Flaga Olesen,Köln,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/3167.png,0,-9,-51,None,28,None
91,4318,Tim Oermann,Bochum,2,1952501.0,2,https://kickbase.b-cdn.net/pool/playersbig/4318.png,0,22,112,None,24,None
92,2494,Masaya Okugawa,Augsburg,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2494.png,0,14,27,None,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
93,2850,Jan Jakob Olschowsky,M-Gladbach,1,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2850.png,0,0,0,None,15,https://kickbase.b-cdn.net/team/2013/07/30/d91892b110704f76a6d787c5078f3030.jpg
94,2776,Dani Olmo,Leipzig,3,21516457.0,1,https://kickbase.b-cdn.net/pool/playersbig/2776.png,2,117,584,None,43,None
95,1804,Karim Onisiwo,Mainz 05,4,2109051.0,2,https://kickbase.b-cdn.net/pool/playersbig/1804.png,0,37,439,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
96,1225,Leopold Zingerle,Leipzig,1,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/1225.png,0,0,0,None,43,None
97,6060,Leon Opitz,Bremen,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/6060.png,1,-4,-8,None,10,https://kickbase.b-cdn.net/team/2013/07/30/f5ee82a13bc74c728dbd61672eafb76c.jpg
98,6664,Loïs Openda,Leipzig,4,38584501.0,1,https://kickbase.b-cdn.net/pool/playersbig/6664.png,0,136,2174,2633134,43,None
99,4590,Jonas Omlin,M-Gladbach,1,8807131.0,1,https://kickbase.b-cdn.net/pool/playersbig/4590.png,4,133,265,2222233,15,https://kickbase.b-cdn.net/team/2013/07/30/d91892b110704f76a6d787c5078f3030.jpg
100,2047,Reece Oxford,Augsburg,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2047.png,1,0,0,None,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
101,2722,Patrick Osterhage,Bochum,3,3790385.0,2,https://kickbase.b-cdn.net/pool/playersbig/2722.png,0,58,641,None,24,None
102,3558,Ivan Ordets,Bochum,2,4329153.0,1,https://kickbase.b-cdn.net/pool/playersbig/3558.png,4,62,555,None,24,None
103,1246,Willi Orban,Leipzig,2,17519502.0,1,https://kickbase.b-cdn.net/pool/playersbig/1246.png,4,115,346,2633134,43,None
104,3050,Antonios Papadopoulos,Dortmund,2,500000.0,2,https://kickbase.b-cdn.net/pool/playersbig/3050.png,0,33,33,None,3,https://kickbase.b-cdn.net/team/2013/07/30/0abbc3334029438b9ffc564f2923886b.jpg
105,2453,Leart Pacarada,Köln,2,950265.0,2,https://kickbase.b-cdn.net/pool/playersbig/2453.png,1,49,586,None,28,None
106,1918,Salih Özcan,Dortmund,3,3451541.0,2,https://kickbase.b-cdn.net/pool/playersbig/1918.png,0,50,449,None,3,https://kickbase.b-cdn.net/team/2013/07/30/0abbc3334029438b9ffc564f2923886b.jpg
107,2766,Exequiel Palacios,Bayer 04,3,30016391.0,1,https://kickbase.b-cdn.net/pool/playersbig/2766.png,0,152,2279,2627255,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
108,2893,Matondo-Merveille Papela,Mainz 05,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2893.png,0,6,45,None,18,https://kickbase.b-cdn.net/team/2013/07/30/7ddbe10cc9ba45d0902ab5fedfa3e817.jpg
109,6184,Willian Pacho,Frankfurt,2,16346216.0,1,https://kickbase.b-cdn.net/pool/playersbig/6184.png,0,89,1416,None,4,https://kickbase.b-cdn.net/team/2013/07/30/80fe7ac3b0f643e2af669f6f77f4a5a6.jpg
110,3191,Kevin Paredes,Wolfsburg,3,500000.0,2,https://kickbase.b-cdn.net/pool/playersbig/3191.png,0,27,356,None,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
111,1785,Felix Passlack,Bochum,2,500000.0,2,https://kickbase.b-cdn.net/pool/playersbig/1785.png,0,29,203,None,24,None
112,2651,Mads Pedersen,Augsburg,2,2355970.0,2,https://kickbase.b-cdn.net/pool/playersbig/2651.png,32,55,829,None,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
113,6080,Aleksandar Pavlovic,Bayern,3,10944576.0,1,https://kickbase.b-cdn.net/pool/playersbig/6080.png,0,109,543,None,2,https://kickbase.b-cdn.net/team/2013/07/30/3ebe44c53c3f4c87bd605da69e743fb8.jpg
114,2053,Jiri Pavlenka,Bremen,1,2330827.0,2,https://kickbase.b-cdn.net/pool/playersbig/2053.png,0,82,577,None,10,https://kickbase.b-cdn.net/team/2013/07/30/f5ee82a13bc74c728dbd61672eafb76c.jpg
115,4296,Dzenan Pejcinovic,Wolfsburg,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/4296.png,0,0,0,None,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
116,7424,Eljif Elmas,Leipzig,3,11593995.0,1,https://kickbase.b-cdn.net/pool/teamsdummies/43.png,0,0,0,2222233,43,None
117,4555,Arne Engels,Augsburg,3,1226036.0,1,https://kickbase.b-cdn.net/pool/playersbig/4555.png,0,37,519,None,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
118,1686,Nico Elvedi,M-Gladbach,2,10793970.0,1,https://kickbase.b-cdn.net/pool/playersbig/1686.png,0,77,1076,2566773,15,https://kickbase.b-cdn.net/team/2013/07/30/d91892b110704f76a6d787c5078f3030.jpg
119,1158,Michael Esser,Bochum,1,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/1158.png,1,0,0,None,24,None
120,6182,Nacho Ferri,Frankfurt,4,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/6182.png,0,43,173,None,4,https://kickbase.b-cdn.net/team/2013/07/30/80fe7ac3b0f643e2af669f6f77f4a5a6.jpg
